videoId;color_1_name;color_2_name;color_3_name
j0urPLTGsog;gray;gray;blue
b7DzwynY3zY;gray;brown;gray
aBrfkViJrrI;gray;gray;green
LRlYIJA2BhA;gray;gray;blue
-SHlR2bFy40;black;pink;gray
h49409c1ZAA;black;gray;gray
O52io-Nt5n8;black;red;gray
9B5slEzyOyw;beige;black;brown
IrKh77h0w2Y;brown;black;brown
jYEQ47eWX6Q;gray;black;brown
sdkFdgGd8rU;beige;black;brown
QbEOaplPJoM;black;gray;gray
3pRoBySXlYA;black;gray;blue
i2pgAbWn2j8;black;gray;green
nPWb6zOfKdM;gray;brown;gray
vD1TWsxOaWY;black;gray;gray
yBD5c-R0wjE;brown;black;green
nUgOyCUJY8Q;beige;black;brown
gZ5VSjnZHPk;gray;gray;green
5vgK_e2tA-k;gray;black;brown
8_uZMDngFA8;gray;gray;pink
zecBnD4v7Ws;gray;gray;gray
eEXDTlu9vbk;gray;gray;gray
7DnYRivf_Wc;beige;black;brown
T0Pw0uwQTlU;gray;gray;gray
awXPwdfmy0k;beige;black;brown
BDYa_vHW2eI;black;pink;gray
crezWe6D8mM;gray;gray;pink
KpVUBQWNVBU;beige;black;brown
qkRiVSm97wA;beige;black;brown
dynu2sjXEqg;beige;black;green
sIOe2VtBJFM;gray;turquoise;blue
vfP117dqv74;brown;black;brown
Zcf_GuNvrxY;gray;brown;gray
DHSh2ZuVVKQ;brown;black;brown
HX9uRswNzaU;beige;black;brown
YgI4_HdG5bA;black;beige;gray
KDsb7IYgUkc;black;brown;green
DDESv_XhhdM;black;gray;blue
bMoZcnCEVQA;gray;beige;pink
iYutu8CPQm0;gray;gray;turquoise
yo_WfRRq-8U;brown;black;brown
v6g0u6yrDGc;black;gray;gray
lznyqvr3ZRI;brown;black;brown
JeWtjLPa_zE;brown;black;green
ognAsnpWFa8;beige;black;brown
jeb4y8cQ_20;gray;brown;gray
UUlzQp9DOEs;gray;red;purple
PphwJqw3Hos;black;beige;gray
BzGUTVEIbrk;beige;black;brown
O6p22IIcutE;brown;black;brown
HY95vCME8jg;black;beige;gray
NQhhp5Lm3Vg;black;green;gray
fSQlMX6OC88;gray;pink;gray
Cu6K_otiLhs;black;gray;pink
XMJmCUjqvpA;black;gray;pink
LWtgrvg-4A4;black;gray;blue
2Y5qyMgJcVw;brown;black;brown
NZcOihoAphw;gray;beige;blue
d1k3HZM_i2w;black;gray;blue
pGSvrUGVNaw;black;beige;gray
tJytqhQs1Z4;gray;beige;blue
9ohmoFhIdoI;black;beige;gray
Vf1Uwa9oAUs;gray;beige;blue
SweUcxjuJyo;gray;gray;gray
DS3uS0gtSlU;brown;black;brown
SEeTsxx_p2g;gray;beige;blue
rUrVBSRAOEU;gray;beige;blue
sfvcwPHXkns;brown;black;beige
HglNB3t5eSs;gray;beige;blue
YwCY3jAWJZ4;brown;black;brown
UVC1OhtJVKY;gray;beige;blue
28VVuoMHSug;black;pink;gray
MN4rv2aIMUM;brown;black;brown
n6wqpJYxAtw;gray;beige;blue
Pf6DxkMnOCA;black;pink;gray
RFxqp6LC4nY;brown;black;green
1VaAoWG6hDc;gray;beige;blue
M6gRtd4629I;brown;black;brown
hWzfcdUbkoM;beige;black;brown
MgRbWpvGdOk;gray;brown;green
8Cr0ZGk6trU;beige;black;brown
YCiifp8RqEk;gray;gray;gray
Qh-sBOx9IK4;black;beige;gray
-JmYjCDQ1kI;black;gray;gray
JAN5o8bLVyA;brown;black;brown
nECwK66TvEo;beige;black;brown
NN9vcgAD0JU;brown;black;brown
2axEuHj68wU;gray;gray;gray
Bapd85dQ3Bw;beige;black;brown
AKlFd6yNn-U;gray;gray;gray
M_ckYFCsfT4;gray;gray;gray
BsHjeS6SGMI;beige;black;brown
3qXlgDqmsgc;gray;gray;gray
lmamQUfTEtY;brown;black;brown
-kiNkjAJqNo;black;gray;gray
rKXU8EfWNeU;gray;gray;gray
Tc0lFZR-cD8;brown;black;brown
cO0IWgyk2Hw;gray;gray;gray
09klubQtYlw;gray;pink;turquoise
JZHP6drOehs;brown;black;brown
DAU7OQVL7Ag;gray;gray;gray
fweH2-HJvlc;gray;gray;gray
tIEqs3Vifiw;brown;black;brown
ou8S3el7X0U;brown;black;gray
AdVxYemr-AM;black;brown;turquoise
WQljtpvv5Mg;brown;black;brown
_6MV1DX1_jA;beige;black;brown
nGqqrahOMj0;gray;brown;gray
BprI5oIrcf0;gray;gray;gray
uIi9ddlqCKk;brown;black;green
4KV2jLsdV4M;brown;black;brown
Lhy5Wys3eKs;black;brown;gray
7mJrWOtUA6c;beige;black;brown
rHfoK0JrRl8;brown;black;green
2gFyJKJrK38;black;brown;gray
xIZ66GO5onI;brown;black;brown
-rGMQvwOR4Q;gray;gray;gray
Q06KFeT8dXg;black;gray;gray
0seR4_2eQec;brown;black;brown
4yzzhNX1H0g;brown;black;brown
llrT6Bi6G8A;brown;black;green
rE4OYtJPdkg;brown;black;brown
6E8VE6fZQoo;beige;black;brown
kHuVVdOJP7A;brown;black;brown
ANId5n1cV5o;brown;black;brown
QZ_EexLXWvs;beige;black;brown
S7Q0bbwdoow;brown;black;brown
q9veU-j3Z8k;beige;black;brown
GXOQkCcmNAM;brown;black;gray
sk5nsV0ey1A;brown;black;brown
ymtNf5uBEC4;gray;black;brown
KPIXH40Btao;beige;black;brown
8Em6Bkm91BA;black;beige;gray
8HaBMj-H8fA;black;gray;blue
11bv4UypKX0;beige;black;brown
IM2NRxUD1fo;brown;black;brown
DaijLkE8T_s;beige;black;brown
AB7uwtNq6fw;gray;gray;gray
wd8HcoRDfhM;beige;black;brown
07lR3eFrA9Y;gray;brown;gray
OsAXUV9mJzs;beige;black;brown
-FESz8pxDAc;brown;black;brown
Z-9p1TNH2KQ;brown;black;brown
8Vc85Dphstk;brown;black;brown
2-HLVt0jOmA;gray;gray;gray
cHSEK8nfJZU;gray;gray;green
u9GJhHfQdUU;brown;black;brown
X4MRm3MI00g;brown;black;brown
gGlUUEMaKB8;brown;black;brown
WjP33OPc8HM;beige;black;brown
YAyMKjdIYEw;beige;black;brown
8TCmuX9j0Sk;black;gray;gray
vAojFbWo1T4;gray;pink;gray
CvRzb4FktxE;gray;gray;gray
rK1EED817jI;gray;gray;gray
2leugtng9r0;beige;black;brown
6VtrbivdiTc;beige;black;brown
WcB50BaCNxk;beige;black;brown
9sZIepGb_20;beige;black;brown
Kac980bySkQ;gray;gray;brown
Iwb83652ujQ;beige;black;brown
b93MTA0gIus;gray;gray;blue
sAr5CehsQdI;beige;black;brown
44VL1hIgvjA;black;beige;gray
ef_ai0C9IhA;beige;black;brown
JOsb1otS_g4;black;blue;blue
SZysoF_Aans;gray;gray;blue
A54BPy0Fn88;brown;black;brown
sIRRrMeqvvw;brown;black;brown
JgFrc0laQxc;brown;black;green
F1S_7FvJB74;black;pink;gray
99e-3jz292s;gray;black;brown
cyoU8FVxGfA;beige;black;brown
EELpnlcZ0E4;brown;black;brown
bBWdCgXDr2g;black;beige;gray
KILcBXVuu-0;brown;black;brown
I2UxeEUzs54;gray;black;brown
hkNYBOphUng;gray;gray;gray
